Protein,Sparsity,Sparsity std,Ruggedness,Ruggedness std,Label
GB1,0.1324465008675535,0.02532453563571866,1.112869226603941,0.0431499577366917,Empirical sites
GB1,0.3656944559200198,0.06261950723963472,1.3702172229292282,0.1278425778658645,Secondary structures
GB1,0.16483516483516483,0.019850783460648367,1.1875129845530197,0.05793978618674638,Random coils
GB1,0.1571511195571346,0.03209541180546051,1.0917258375468089,0.03585746429134576,Secondary structures
GB1,0.08311988763116583,0.007732313203205385,1.0246205005606537,0.010565656735687894,Random coils
GFP,0.2409902435786819,0.03380933946872787,1.1102869411256884,0.031018420394185963,Empirical sites
GFP,0.3205816739651326,0.055518259695389045,1.2601287549860298,0.09750777588297693,Secondary structures
GFP,0.09022556390977442,0.013517572374884886,1.0347734945976348,0.011764290036884274,Random coils
GFP,0.17045360654383213,0.04200135539045289,1.0854901696891395,0.04389177969008895,Secondary structures
GFP,0.11559117574155169,0.025831642441932253,1.0593597138454285,0.03864779380012964,Random coils
TP53,0.023300008262414275,0.0009200635152986898,1.005037332650816,0.001213195696764413,Empirical sites
TP53,0.052383706519044865,0.004810683839712347,1.0057579942639137,0.0013989601697166137,Secondary structures
TP53,0.07807981492192019,0.007271863414257003,1.0152726851876508,0.003327179452184766,Random coils
TP53,0.02263901512021813,0.004270956947308961,1.001073271350516,0.0006357893853916313,Secondary structures
TP53,0.020903908121953238,0.002391822659857909,1.0006651555525743,0.00027458047512863583,Random coils
